Record ID,Contact Id,Rating,Date,Survey Name,NPS,CSAT
340674454,10633751,1,2019-04-06 19:57,Congrats you got a job - Customer Satisfaction Survey,,Neutral
36406325884,29276551,7,2021-03-03 11:08,Customer Support Survey,Passive,
35056420000,26832801,7,2021-02-11 19:12,Customer Support Survey,Passive,
35055411838,31626001,7,2021-02-11 18:42,Customer Support Survey,Passive,
34916180883,,7,2021-02-09 18:42,Customer Support Survey,Passive,
34738025589,,7,2021-02-05 21:13,Customer Support Survey,Passive,
34681728113,,6,2021-02-05 13:46,Customer Support Survey,Detractor,
34652546567,30197001,7,2021-02-04 22:55,Customer Support Survey,Passive,
34646086021,,7,2021-02-04 20:43,Customer Support Survey,Passive,
34616993700,,7,2021-02-04 14:41,Customer Support Survey,Passive,
34152393646,,4,2021-01-28 16:56,Customer Support Survey,Detractor,
33991198942,30822051,7,2021-01-25 18:44,Customer Support Survey,Passive,
33875223244,17797601,7,2021-01-22 16:09,Customer Support Survey,Passive,
33875075174,,7,2021-01-22 16:06,Customer Support Survey,Passive,
33824176191,25809251,7,2021-01-21 19:35,Customer Support Survey,Passive,
33741960856,,7,2021-01-20 11:15,Customer Support Survey,Passive,
33691377614,,7,2021-01-19 14:42,Customer Support Survey,Passive,
33576676182,29136101,4,2021-01-15 22:29,Customer Support Survey,Detractor,
33314497305,,7,2021-01-12 14:30,Customer Support Survey,Passive,
33287793359,29571751,7,2021-01-11 22:01,Customer Support Survey,Passive,
33287254890,29537451,2,2021-01-11 21:55,Customer Support Survey,Detractor,
33284922420,29573451,7,2021-01-11 20:04,Customer Support Survey,Passive,
33283474757,,7,2021-01-11 19:26,Customer Support Survey,Passive,
33283305815,,7,2021-01-11 19:24,Customer Support Survey,Passive,
31699547063,,7,2020-12-09 18:53,Customer Support Survey,Passive,
31640675079,,5,2020-12-08 18:34,Customer Support Survey,Detractor,
30477065076,20585401,6,2020-11-16 19:01,Customer Support Survey,Detractor,
28686171278,,7,2020-10-19 18:43,Customer Support Survey,Passive,
28554411329,28409951,7,2020-10-17 16:40,Customer Support Survey,Passive,
28154805137,,7,2020-10-09 14:00,Customer Support Survey,Passive,
27997766930,28092201,7,2020-10-06 10:28,Customer Support Survey,Passive,
27740090940,19847301,7,2020-09-29 18:57,Customer Support Survey,Passive,
27215435515,,1,2020-09-17 12:55,Customer Support Survey,Detractor,
27026814661,27125751,6,2020-09-14 17:40,Customer Support Survey,Detractor,
26734173150,19894751,7,2020-09-09 21:08,Customer Support Survey,Passive,
26704982643,,7,2020-09-09 12:57,Customer Support Survey,Passive,
23836789785,,7,2020-08-02 11:46,Customer Support Survey,Passive,
23809843657,,6,2020-08-01 02:13,Customer Support Survey,Detractor,
23681128405,10117801,7,2020-07-29 16:43,Customer Support Survey,Passive,
22703851351,,7,2020-07-10 19:48,Customer Support Survey,Passive,
22391237044,,7,2020-07-06 22:09,Customer Support Survey,Passive,
21915317104,,7,2020-06-29 18:49,Customer Support Survey,Passive,
20804250527,,7,2020-06-10 12:16,Customer Support Survey,Passive,
20716046940,,7,2020-06-09 19:01,Customer Support Survey,Passive,
20716319782,22648801,7,2020-06-09 18:59,Customer Support Survey,Passive,
20436710529,24807301,7,2020-06-04 11:49,Customer Support Survey,Passive,
19575607515,,6,2020-05-19 14:42,Customer Support Survey,Detractor,
19572122750,4046901,7,2020-05-19 12:09,Customer Support Survey,Passive,
19351195286,6330951,7,2020-05-13 20:10,Customer Support Survey,Passive,
19257378908,,7,2020-05-11 19:29,Customer Support Survey,Passive,
19231374444,21717551,7,2020-05-11 10:35,Customer Support Survey,Passive,
16660557559,,6,2020-04-23 13:57,Customer Support Survey,Detractor,
16434175592,23779801,1,2020-04-22 10:40,Customer Support Survey,Detractor,
14621339464,,7,2020-04-16 17:56,Customer Support Survey,Passive,
14328924902,,6,2020-04-14 13:38,Customer Support Survey,Detractor,
12271109682,,7,2020-04-09 15:56,Customer Support Survey,Passive,
11828980903,,7,2020-04-07 17:33,Customer Support Survey,Passive,
11562112177,,7,2020-04-06 20:06,Customer Support Survey,Passive,
11103529311,,6,2020-04-02 18:38,Customer Support Survey,Detractor,
11073846827,,7,2020-04-02 11:57,Customer Support Survey,Passive,
10983035560,,7,2020-03-31 15:22,Customer Support Survey,Passive,
10804629824,,7,2020-03-26 16:27,Customer Support Survey,Passive,
10795380269,874101,7,2020-03-26 10:31,Customer Support Survey,Passive,
10727615987,19912601,7,2020-03-24 18:30,Customer Support Survey,Passive,
10675751234,,7,2020-03-23 16:30,Customer Support Survey,Passive,
10377756099,,7,2020-03-17 16:29,Customer Support Survey,Passive,
10365271551,23263451,7,2020-03-17 10:37,Customer Support Survey,Passive,
10359115422,,7,2020-03-16 22:08,Customer Support Survey,Passive,
10358669758,,7,2020-03-16 22:01,Customer Support Survey,Passive,
10149932909,22560151,7,2020-03-14 21:47,Customer Support Survey,Passive,
10074531500,,5,2020-03-13 16:22,Customer Support Survey,Detractor,
10094157844,,5,2020-03-13 16:17,Customer Support Survey,Detractor,
10084844851,,7,2020-03-13 10:52,Customer Support Survey,Passive,
10084070825,23203851,7,2020-03-13 09:00,Customer Support Survey,Passive,
9941933598,,7,2020-03-10 19:45,Customer Support Survey,Passive,
9759798524,23085401,7,2020-03-06 11:33,Customer Support Survey,Passive,
9725807003,22399101,7,2020-03-05 13:56,Customer Support Survey,Passive,
9676332204,,7,2020-03-04 14:05,Customer Support Survey,Passive,
9570868105,22648801,7,2020-03-02 13:41,Customer Support Survey,Passive,
9569250240,21674201,7,2020-03-02 10:13,Customer Support Survey,Passive,
9474043932,19492151,7,2020-02-28 15:01,Customer Support Survey,Passive,
9408154658,,7,2020-02-27 14:00,Customer Support Survey,Passive,
9360861547,15485501,6,2020-02-26 13:37,Customer Support Survey,Detractor,
9255729253,,7,2020-02-25 12:25,Customer Support Survey,Passive,
9112044231,20253351,7,2020-02-23 02:23,Customer Support Survey,Passive,
9071802886,,7,2020-02-21 17:23,Customer Support Survey,Passive,
9073596951,21674201,7,2020-02-21 17:19,Customer Support Survey,Passive,
9071385972,19612401,7,2020-02-21 16:24,Customer Support Survey,Passive,
9033396678,,6,2020-02-20 17:17,Customer Support Survey,Detractor,
8980214067,,7,2020-02-19 17:21,Customer Support Survey,Passive,
8976237161,,7,2020-02-19 17:14,Customer Support Survey,Passive,
8772844192,16154101,7,2020-02-16 19:59,Customer Support Survey,Passive,
8695584864,,7,2020-02-14 13:41,Customer Support Survey,Passive,
8700697928,,7,2020-02-14 13:31,Customer Support Survey,Passive,
8699932945,,7,2020-02-14 12:38,Customer Support Survey,Passive,
8628839907,22645751,7,2020-02-13 09:20,Customer Support Survey,Passive,
8571933285,,4,2020-02-12 17:19,Customer Support Survey,Detractor,
8468724851,,5,2020-02-11 17:21,Customer Support Survey,Detractor,
8454969411,,7,2020-02-11 12:31,Customer Support Survey,Passive,
8369189800,,7,2020-02-10 15:56,Customer Support Survey,Passive,
8209380761,22299501,7,2020-02-06 12:42,Customer Support Survey,Passive,
8213002144,,7,2020-02-06 08:31,Customer Support Survey,Passive,
8089147551,19651201,7,2020-02-03 20:32,Customer Support Survey,Passive,
8075458053,,7,2020-02-03 13:44,Customer Support Survey,Passive,
8071148185,,7,2020-02-03 11:39,Customer Support Survey,Passive,
8069578914,,6,2020-02-03 11:08,Customer Support Survey,Detractor,
8027677587,,6,2020-02-01 17:58,Customer Support Survey,Detractor,
7910445368,,7,2020-01-30 14:43,Customer Support Survey,Passive,
